WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
floater	7.8	470	329	408	7	2	6	2.73	1
flood	5.6	322	571	503	5	1	4	2.84	2
flour	5.1	275	505	501	5	2	5	2.81	2
flow	6.2	348	429	499	4	1	3	2.68	8
flown	6.1	346	343	494	5	1	4	2.91	4
fluent	7.8	469	223	501	6	2	6	2.28	0
fluid	7.2	429	550	500	5	2	5	2.32	0
flung	7.3	440	313	456	5	1	4	2.97	3
flush	5.6	317	420	532	5	1	4	2.59	5
foam	5.3	308	583	499	4	1	3	2.65	4
fodder	9.3	580	315	373	6	2	5	3.02	2
fold	5.5	317	402	555	4	1	4	3.11	10
folder	5.9	342	565	567	6	2	6	3.02	6
folk	7.1	423	311	460	4	1	3	2.98	3
follow	4.7	263	327	604	6	2	4	2.85	3
fond	7.8	469	283	462	4	1	4	3.25	9
fool	5.9	345	353	531	4	1	3	2.98	10
ford	8.9	541	450	450	4	1	3	3.23	10
foreign	7.0	407	375	532	7	2	5	2.56	0
forge	8.7	538	286	408	5	1	3	2.99	4
former	8.4	520	196	475	6	2	5	3.10	5
forth	7.2	433	225	436	5	1	3	3.17	6
forty	5.6	320	370	535	5	2	4	3.10	4
forum	10.3	647	265	432	5	2	5	2.36	0
fought	6.4	366	395	475	6	1	3	2.90	3
foul	7.0	420	372	510	4	1	3	2.73	6
fourth	5.1	279	317	551	6	1	3	2.89	0
frail	7.8	459	380	447	5	1	4	2.93	3
frank	8.4	511	238	468	5	1	5	3.02	5
frantic	8.6	539	279	465	7	2	7	2.65	0
freak	8.0	510	435	539	5	1	4	2.94	3
fresh	5.6	327	335	595	5	1	4	2.92	1
fright	5.3	286	442	493	6	1	4	2.77	4
fringe	5.1	283	500	490	6	1	5	2.91	2
frock	5.8	330	599	421	5	1	4	2.85	2
frown	5.2	276	525	525	5	1	4	2.93	5
froze	6.1	349	475	530	5	1	4	2.19	0
fuel	7.0	406	494	480	4	1	4	2.34	3
fund	8.0	487	274	494	4	1	4	2.84	4
fungus	7.5	459	540	449	6	2	6	2.40	0
funky	8.9	533	347	543	5	2	5	2.21	1
funny	3.9	198	404	656	5	2	4	2.33	6
furious	7.0	399	358	516	7	2	6	2.87	1
fusion	10.6	654	282	427	6	2	5	2.76	0
fuss	5.7	314	232	536	4	1	3	3.02	4
gain	6.6	358	352	530	4	1	3	3.09	8
gale	7.2	435	457	434	4	1	3	3.01	18
galley	8.9	553	385	372	6	2	4	2.82	2
gamma	11.4	700	238	397	5	2	4	1.97	0
gasp	6.8	366	486	467	4	1	4	2.39	3
gastric	12.0	700	214	408	7	2	7	2.46	0
gate	4.4	236	632	532	4	1	3	2.86	13
gather	6.5	367	319	516	6	2	5	3.24	3
gaunt	9.8	592	323	429	5	1	4	2.79	4
gaze	7.0	407	396	606	4	1	3	2.27	10
gear	6.7	380	469	499	4	1	3	2.97	10
gender	7.6	460	421	536	6	2	6	2.94	5
gene	10.2	636	437	517	4	1	3	2.84	2
ghetto	10.6	636	490	440	6	2	4	1.96	0
ghost	4.2	214	622	482	5	1	4	2.80	0
gift	4.7	255	547	544	4	1	4	2.93	5
gilt	9.2	521	263	408	4	1	4	3.05	9
glacial	9.9	603	445	402	7	2	7	2.73	0
glad	5.7	313	347	573	4	1	4	2.64	2
glamour	7.8	487	408	524	7	2	6	2.48	1
glance	7.5	453	373	506	6	1	5	2.71	0
global	7.8	470	402	516	6	2	5	2.26	0
gloom	7.6	453	416	458	5	1	4	2.50	2
glory	7.1	415	316	461	5	2	5	2.87	0
glow	5.7	322	473	486	4	1	3	2.54	4
goat	3.9	204	636	443	4	1	3	3.37	7
goblet	8.3	505	493	384	6	2	6	2.63	1
goddess	7.5	461	525	432	7	2	5	2.33	1
gold	5.0	276	624	506	4	1	4	3.16	9
golf	5.8	325	621	489	4	1	4	2.99	3
goodbye	3.5	171	390	700	7	2	5	1.77	0
goofy	5.8	322	441	452	5	2	4	2.04	1
gothic	9.9	593	511	460	6	2	5	2.73	0
govern	8.8	531	217	438	6	2	4	2.58	0
grab	5.5	299	429	550	4	1	4	2.11	5
grade	6.9	382	426	553	5	1	4	2.90	7
gradual	7.5	453	235	520	7	2	6	2.64	0
grain	6.4	376	478	463	5	1	4	3.13	5
granite	9.3	560	463	404	7	2	6	2.86	0
granny	3.5	159	650	537	6	2	5	2.40	2
graphic	8.6	527	347	462	7	2	6	2.27	0
grasp	7.1	423	330	489	5	1	5	2.72	1
grass	3.8	190	627	535	5	1	4	3.06	7
gravel	6.3	361	563	432	6	2	5	2.66	3
grease	6.8	394	463	510	6	1	4	2.77	2
grenade	8.1	480	528	408	7	2	6	2.60	0
grey	4.9	268	487	530	4	1	3	3.02	2
griddle	10.7	658	376	392	7	2	5	2.37	0
grim	7.0	421	263	486	4	1	4	2.18	8
grin	5.4	289	567	524	4	1	4	2.51	6
grind	7.0	413	390	464	5	1	5	3.33	2
gross	7.7	451	290	527	5	1	4	3.15	5
grow	5.1	275	390	551	4	1	3	3.14	6
guard	5.9	317	590	497	5	1	3	2.58	0
guest	5.5	306	364	547	5	1	4	2.80	2
guide	6.2	331	450	514	5	1	3	2.56	3
guild	10.7	661	187	391	5	1	4	3.15	3
guilt	7.2	433	250	543	5	1	4	2.84	4
guitar	5.3	299	645	495	6	2	5	2.29	0
gullet	10.8	652	269	408	6	2	5	2.78	2
hackney	11.9	700	250	389	7	2	5	2.18	0
hallway	5.1	293	563	531	7	2	5	2.40	1
hammer	5.0	274	668	472	6	2	5	3.03	1
hammock	6.9	407	585	432	7	2	5	1.94	1
handful	6.2	354	396	532	7	2	7	2.36	0
handle	5.4	305	525	546	6	2	5	3.02	1
handy	6.2	345	223	542	5	2	5	2.79	8
hang	4.8	256	486	540	4	1	3	3.45	11
hanky	6.1	341	502	412	5	2	5	2.47	3
harbour	6.7	350	614	455	7	2	5	2.45	0
hardy	9.5	594	218	442	5	2	4	2.84	3
harm	5.6	299	376	515	4	1	3	3.31	7
harmful	6.4	373	330	533	7	2	6	2.30	0
harsh	7.3	421	263	564	5	1	3	2.94	1
harvest	6.0	320	537	450	7	2	6	2.81	1
hatch	5.7	342	445	424	5	1	3	3.04	7
hate	4.5	251	406	597	4	1	3	3.20	14
hath	10.0	628	144	356	4	1	3	3.53	8
hawk	6.8	400	580	419	4	1	3	2.37	4
hazard	7.4	440	459	495	6	2	5	2.19	0
haze	7.0	407	360	428	4	1	3	2.61	10
header	8.0	498	354	453	6	2	5	3.08	6
heath	8.8	533	334	447	5	1	3	3.15	2
heel	5.7	305	550	511	4	1	3	3.26	7
heir	8.5	533	295	412	4	1	2	2.43	3
herb	6.1	354	571	525	4	1	3	2.84	6
herbal	8.1	498	404	503	6	2	4	2.50	1
hernia	12.6	700	365	393	6	2	5	2.27	0
hidden	5.0	279	356	524	6	2	4	2.77	3
hint	7.1	382	322	539	4	1	4	3.15	8
hippie	8.4	524	600	464	6	2	4	2.00	0
hobble	7.5	459	417	445	6	2	4	2.60	3
hollow	6.5	367	364	457	6	2	4	2.79	1
homage	11.2	681	213	385	6	2	5	2.65	0
honest	5.5	310	202	601	6	2	5	2.73	0
honour	7.5	398	342	474	6	2	4	2.58	0
hood	5.3	291	580	541	4	1	3	3.29	10
hook	5.5	313	595	473	4	1	3	3.30	12
hopeful	6.9	413	246	572	7	2	6	2.39	0
hostess	7.9	472	498	471	7	2	6	2.87	1
hover	7.5	428	360	460	5	2	5	3.28	6
hull	9.1	575	375	395	4	1	3	2.99	14
humane	9.5	574	148	432	6	2	6	2.56	1
humour	7.2	379	369	572	6	2	6	2.69	2
hungry	3.6	191	388	694	6	2	6	2.36	0
hurt	4.0	221	450	573	4	1	3	2.79	4
hymn	5.0	276	399	413	4	1	3	1.08	0
idea	5.5	317	220	623	4	2	3	2.53	0
idiot	6.0	330	423	597	5	2	4	1.91	1
idle	8.7	523	242	450	4	2	3	2.23	2
idol	8.8	546	375	498	4	2	3	1.79	0
ignore	5.8	306	330	579	6	2	5	2.27	0
immense	8.6	527	308	478	7	2	5	2.63	1
impact	8.2	502	355	510	6	2	6	2.27	1
impair	9.5	564	230	466	6	2	5	2.14	0
import	8.1	487	282	482	6	2	5	2.47	1
impose	9.0	553	175	486	6	2	5	2.50	0
impress	7.7	466	299	527	7	2	6	2.59	1
improve	6.7	393	225	569	7	2	6	2.29	0
impulse	8.6	516	293	527	7	2	6	2.28	0
inch	6.4	373	472	524	4	1	3	3.18	1
index	7.7	467	269	524	5	2	6	2.30	0
indoor	4.3	229	390	567	6	2	5	2.40	0
indoors	4.4	212	425	570	7	2	5	2.46	0
infant	6.4	378	600	562	6	2	6	2.44	0
infect	6.9	407	280	497	6	2	6	2.59	3
inflame	9.3	562	339	427	7	2	6	2.04	1
inkling	9.9	625	155	441	7	2	6	2.68	0
inlay	9.7	602	184	391	5	2	4	1.71	0
innate	12.3	700	105	541	6	2	4	2.36	1
input	9.1	554	223	494	5	2	5	1.82	0
insane	7.6	452	299	527	6	2	5	2.46	0
inspect	7.5	439	323	485	7	2	7	2.67	0
install	9.0	546	148	527	7	2	6	2.58	0
intend	7.6	449	123	540	6	2	6	2.82	1
intense	8.6	508	237	520	7	2	6	2.78	1
invest	9.4	575	235	520	6	2	6	2.60	4
invoice	10.8	663	385	471	7	2	5	2.34	0
iron	5.9	307	651	535	4	2	3	2.80	1
isle	7.9	473	390	432	4	1	2	1.58	1
jackal	9.7	569	367	389	6	2	5	2.32	0
jacket	4.8	246	632	642	6	2	5	2.74	2
jail	5.5	313	620	473	4	1	3	2.72	10
jargon	9.8	597	262	417	6	2	5	2.47	0
jazz	7.8	466	551	493	4	1	3	1.69	0
jealous	6.1	352	293	569	7	2	5	2.63	1
jean	5.8	338	463	604	4	1	3	2.87	5
jeep	7.0	413	611	443	4	1	3	2.71	7
jockey	6.6	386	606	415	6	2	4	2.67	1
jogging	6.4	353	585	546	7	2	5	2.74	3
joke	5.0	274	413	601	4	1	3	2.68	5
juggle	5.8	330	562	453	6	2	4	2.41	2
jumble	6.1	335	364	435	6	2	5	2.75	6
junk	6.3	367	469	583	4	1	4	2.73	5
jury	9.1	546	426	461	4	2	4	3.11	2
keen	6.9	393	230	562	4	1	3	3.50	5
kernel	9.8	600	369	387	6	2	4	2.51	1
kidney	7.8	473	593	490	6	2	5	2.21	0
kill	4.4	243	445	536	4	1	3	3.37	13
kingdom	5.9	333	429	436	7	2	6	2.33	0
kinky	11.1	700	427	479	5	2	5	2.35	1
kiss	3.7	178	644	621	4	1	3	2.96	5
knelt	5.8	342	410	485	5	1	4	2.50	1
knife	4.5	245	636	610	5	1	3	2.25	0
knight	5.8	322	580	413	6	1	3	2.47	0
knock	5.1	269	460	591	5	1	3	2.69	1
knot	5.6	303	547	516	4	1	3	2.99	4
lace	5.6	313	560	469	4	1	3	3.28	13
lack	6.8	415	228	525	4	1	3	3.34	16
lager	8.0	485	644	530	5	2	5	2.89	5
lake	4.8	256	616	506	4	1	3	3.36	15
lapel	9.6	586	364	350	5	2	5	2.77	1
latent	11.6	700	193	405	6	2	6	2.96	3
launch	6.8	394	402	463	6	1	4	2.68	2
lavish	9.3	567	263	440	6	2	5	2.68	0
lawn	5.7	326	598	501	4	1	3	2.86	7
lazy	5.3	296	299	607	4	2	4	2.08	4
leaf	4.4	225	655	540	4	1	3	2.75	7
leaflet	6.9	407	552	540	7	2	6	2.49	0
league	7.8	466	360	533	6	1	3	2.51	0
lean	6.4	361	339	491	4	1	3	3.37	11
lecture	9.2	495	570	684	7	2	6	2.94	0
ledge	6.8	407	464	460	5	1	3	2.52	4
legend	7.0	413	291	531	6	2	6	2.72	0
legion	10.0	610	232	402	6	2	5	2.72	1
leisure	7.7	460	360	550	7	2	5	2.63	0
lend	5.9	341	295	558	4	1	4	3.24	10
leopard	5.6	326	580	421	7	2	5	2.42	0
lest	10.2	636	170	385	4	1	4	3.36	16
lettuce	5.1	276	635	558	7	2	5	2.87	0
limb	7.5	446	559	468	4	1	3	2.94	3
limit	6.6	376	223	576	5	2	5	2.58	0
limp	6.9	399	418	450	4	1	4	3.05	6
liquid	5.6	303	587	545	6	2	6	2.05	0
liquor	9.0	505	535	502	6	2	5	2.00	0
list	5.4	293	494	597	4	1	4	3.43	11
litter	5.4	298	620	546	6	2	5	3.45	6
load	6.9	415	330	527	4	1	3	3.09	9
loaf	5.3	296	505	567	4	1	3	2.54	4
loan	8.2	431	419	564	4	1	3	3.16	8
locate	7.6	453	226	462	6	2	5	2.74	1
lone	7.3	433	291	454	4	1	3	3.29	16
loop	6.0	339	481	457	4	1	3	3.21	7
loose	5.3	289	315	536	5	1	3	3.16	4
lorry	4.5	229	636	506	5	2	4	3.03	2
lose	4.6	240	290	579	4	1	3	3.26	12
loud	4.4	243	441	625	4	1	3	2.80	4
lounge	5.3	291	560	578	6	1	4	2.97	0
lousy	8.1	479	234	486	5	2	4	2.91	2
lump	5.1	283	565	495	4	1	4	2.12	8
lung	6.7	393	560	495	4	1	3	2.52	7
lure	9.6	597	245	454	4	1	3	2.93	7
lush	8.6	525	368	506	4	1	3	2.72	8
lust	9.6	577	360	502	4	1	4	3.06	12
madness	6.8	401	335	536	7	2	6	2.44	2
mail	5.3	291	565	594	4	1	3	3.22	15
maize	9.2	567	426	432	5	1	3	2.27	1
mallet	7.2	448	533	419	6	2	5	3.11	5
manic	9.8	612	325	523	5	2	5	2.58	3
mansion	6.6	380	612	443	7	2	5	2.84	0
mantel	11.2	510	345	382	6	2	5	3.01	0
manure	6.8	393	515	429	6	2	6	2.96	1
marry	5.1	282	498	529	5	2	4	3.01	5
mars	6.2	359	567	506	4	1	3	3.09	16
marsh	6.4	380	505	426	5	1	3	2.97	2
marshal	9.4	587	425	403	7	2	4	2.51	0
mask	4.9	269	555	476	4	1	4	3.11	9
massive	6.2	353	418	583	7	2	5	2.76	2
mate	7.1	420	472	640	4	2	4	3.12	19
matrix	12.6	700	274	449	6	2	7	2.23	0
matron	8.7	541	495	388	6	2	6	2.80	1
meagre	10.0	611	205	385	6	2	5	2.63	0
measles	6.4	367	559	413	7	2	5	2.80	0
measure	5.8	316	450	549	7	2	5	2.87	0
meat	3.9	198	636	594	4	1	3	3.57	13
medium	5.8	333	308	572	6	2	6	2.20	1
melt	5.0	276	445	513	4	1	4	3.06	7
memoir	9.9	634	230	418	6	2	6	2.33	0
mention	6.7	386	200	576	7	2	5	3.07	0
mere	8.7	533	117	447	4	1	3	3.53	5
merry	5.8	317	396	477	5	2	4	2.81	7
mess	4.2	223	547	624	4	1	3	3.04	7
methane	10.9	672	232	430	7	2	5	2.92	0
metre	6.0	339	494	539	5	2	5	2.70	1
metric	9.5	593	232	479	6	2	6	2.53	0
middle	4.9	261	299	588	6	2	4	2.83	4
midget	8.2	510	500	460	6	2	5	2.68	1
midst	9.6	608	223	427	5	1	5	2.46	1
midwife	7.5	438	478	427	7	2	6	1.75	0
mighty	6.8	413	330	466	6	2	4	2.69	1
mike	6.9	403	390	537	4	1	3	3.29	11
mild	6.2	361	262	534	4	1	4	3.19	5
mildew	9.3	553	360	398	6	2	6	2.46	1
mileage	8.7	526	317	443	7	2	5	2.75	0
milk	3.6	192	626	640	4	1	4	3.06	6
mill	6.5	380	451	431	4	1	3	3.41	16
mingle	10.2	648	285	512	6	2	5	2.89	5
minor	7.5	439	234	503	5	2	5	2.68	2
mint	5.3	298	485	535	4	1	4	3.23	10
minute	4.9	267	453	674	6	2	6	2.57	0
miser	9.6	585	288	359	5	2	5	2.95	4
missile	8.0	479	620	428	7	2	5	2.84	1
mission	7.3	426	291	516	7	2	4	2.93	1
mistake	5.3	291	255	584	7	2	6	2.58	0
mock	8.1	492	279	501	4	1	3	3.02	12
mode	8.6	511	213	449	4	1	3	3.14	10
modest	8.6	511	250	532	6	2	6	2.89	0
moist	7.1	420	412	510	5	1	4	3.05	1
month	5.1	259	313	603	5	1	4	2.90	1
mood	6.0	346	258	618	4	1	3	3.46	8
moon	3.9	204	648	513	4	1	3	3.38	10
mooring	9.3	557	347	399	7	2	5	3.11	0
moral	8.3	455	309	514	5	2	5	2.95	2
morsel	8.5	523	334	415	6	2	4	2.87	0
moss	6.3	354	579	418	4	1	3	3.32	10
motion	7.3	433	386	499	6	2	4	3.03	3
mound	7.2	426	425	437	5	1	4	3.35	9
mount	7.1	420	376	456	5	1	4	3.36	4
mower	6.6	374	432	427	5	2	4	3.12	7
muck	5.5	307	427	450	4	1	3	3.32	14
muffin	5.7	313	615	537	6	2	5	2.18	1
mumble	6.2	349	280	508	6	2	5	2.79	6
mummy	2.1	100	654	606	5	2	4	2.16	4
murmur	8.2	491	202	456	6	2	5	2.33	0
mustang	10.6	638	477	381	7	2	6	2.93	0
mustard	6.4	378	585	450	7	2	6	2.68	2
myth	6.5	376	302	465	4	1	3	2.16	2
naive	9.9	609	160	499	5	2	4	2.60	1
nanny	4.0	214	525	492	5	2	4	2.49	2
nasty	4.6	241	341	566	5	2	5	2.68	4
naughty	4.0	203	300	596	7	2	4	2.29	1
nausea	8.8	538	339	449	6	2	5	2.40	0
neat	5.4	302	396	577	4	1	3	3.65	11
neck	4.4	223	608	551	4	1	3	2.82	5
neon	8.8	539	497	427	4	2	4	2.25	1
nervous	6.5	386	330	590	7	2	5	2.69	0
nest	5.1	282	584	454	4	1	4	3.36	13
nettle	5.2	291	560	431	6	2	4	3.17	5
network	9.2	580	308	530	7	2	6	2.39	0
neural	11.3	675	286	466	6	2	6	2.24	0
neutral	8.8	546	255	469	7	2	7	2.49	0
neutron	11.5	700	325	412	7	2	7	2.36	0
nickel	8.7	526	311	395	6	2	4	2.56	1
nimble	7.2	441	315	415	6	2	5	2.69	2
nine	3.9	206	468	603	4	1	3	2.99	12
ninety	5.1	291	409	485	6	2	5	2.44	1
ninth	5.4	299	334	450	5	1	4	2.85	0
nipple	7.4	440	611	501	6	2	4	2.65	1
noise	4.1	203	325	613	5	1	3	3.01	3
noon	6.2	352	317	523	4	1	3	3.01	7
norm	9.4	588	142	499	4	1	3	2.99	3
note	5.5	294	557	595	4	1	3	2.77	9
notice	6.3	338	433	590	6	2	5	2.94	1
notion	9.3	568	195	453	6	2	4	2.92	4
nucleus	10.5	661	399	479	7	2	7	2.42	0
nude	7.3	423	599	491	4	1	4	2.06	3
nugget	7.5	426	429	449	6	2	5	2.54	0
nuptial	11.8	700	223	358	7	2	5	2.71	0
nurse	4.8	261	654	509	5	1	3	2.73	2
nylon	8.9	561	415	501	5	2	5	1.80	1
oblige	9.2	580	217	452	6	2	5	2.16	0
obscure	9.5	601	209	484	7	2	7	2.43	0
observe	7.7	452	299	557	7	2	5	2.39	0
obvious	7.1	426	217	628	7	2	5	2.62	0
occur	8.1	502	180	546	5	2	4	1.79	0
offend	7.5	461	283	536	6	2	5	2.86	0
office	6.2	367	612	551	6	2	4	2.77	0
omit	9.7	597	250	452	4	2	4	1.50	1
oppose	8.4	511	246	475	6	2	4	2.57	0
option	6.9	420	243	574	6	2	4	2.52	0
orbit	8.3	518	392	432	5	2	4	2.20	0
orchard	6.7	400	545	427	7	2	4	2.24	0
ordain	10.1	616	230	378	6	2	4	2.08	0
ordeal	8.3	512	196	487	6	2	4	2.51	0
other	5.2	289	105	652	5	2	3	3.38	2
ounce	7.1	437	260	462	5	1	3	2.70	0
outcome	8.0	473	209	488	7	2	5	2.40	0
outlook	8.1	505	266	514	7	2	5	2.06	0
output	8.3	491	111	488	6	2	5	1.87	0
oval	6.4	352	535	435	4	2	3	2.25	2
overt	10.9	674	100	434	5	2	4	2.65	2
oyster	7.8	473	615	426	6	2	5	2.73	0
pack	5.9	361	404	572	4	1	3	3.33	15
packet	5.3	298	495	611	6	2	5	2.94	6
pain	4.7	252	390	562	4	1	3	3.22	10
painful	5.0	269	345	557	7	2	6	2.41	1
pair	4.9	256	433	592	4	1	3	3.12	7
paisley	10.2	616	408	382	7	2	5	2.38	1
pale	5.9	330	436	540	4	1	3	3.14	20
pallet	8.9	546	425	395	6	2	5	3.07	5
panic	6.5	380	395	558	5	2	5	2.58	1
parade	6.5	380	543	464	6	2	5	2.69	0
parcel	5.0	286	606	548	6	2	4	2.75	0
parish	8.0	485	396	380	6	2	5	2.77	3
park	4.2	233	607	582	4	1	3	3.20	13
parka	9.8	595	438	393	5	2	4	2.34	1
parlour	7.7	460	403	404	7	2	5	2.68	0
parole	10.8	647	274	429	6	2	5	2.84	0
passion	9.1	551	396	510	7	2	4	2.91	0
passive	9.0	533	217	485	7	2	5	2.77	1
pastry	6.0	339	593	501	6	2	6	2.74	2
patch	6.0	356	475	484	5	1	3	3.09	7
path	5.0	269	580	565	4	1	3	3.33	8
patrol	7.9	485	339	439	6	2	6	2.66	2
patron	9.9	594	256	405	6	2	6	2.76	2
pause	6.5	361	359	539	5	1	3	3.02	2
payment	7.3	387	446	554	7	2	6	2.43	0
payroll	10.0	614	325	456	7	2	5	1.88	0
peace	6.0	352	390	551	5	1	3	3.14	3
peak	6.8	407	493	490	4	1	3	2.52	11
pearl	6.0	338	602	447	5	1	3	2.66	1
pebble	5.2	283	625	498	6	2	4	2.67	0
peddle	6.1	361	478	462	6	2	4	2.86	3
peel	5.2	283	475	540	4	1	3	2.79	8
peer	9.0	539	311	485	4	1	3	3.00	11
pelvis	9.3	574	516	442	6	2	6	2.33	1
pence	5.2	303	481	649	5	1	4	2.86	4
percent	8.2	484	299	549	7	2	6	2.89	1
perform	6.2	352	299	527	7	2	5	2.58	0
perky	8.4	519	372	456	5	2	4	2.33	3
persist	8.3	495	205	490	7	2	6	2.91	0
pester	6.9	387	257	438	6	2	6	3.29	5
petrol	6.0	353	546	572	6	2	6	2.69	1
petty	8.4	525	230	510	5	2	4	2.41	5
phase	8.0	484	160	506	5	1	3	2.93	1
phone	4.5	248	644	670	5	1	3	2.86	3
phoney	9.1	561	195	422	6	2	4	2.56	3
photo	5.0	268	640	594	5	2	4	2.31	0
pick	4.8	256	331	588	4	1	3	2.83	14
picket	9.2	564	303	391	6	2	5	2.82	5
pier	7.3	420	550	433	4	1	3	2.83	5
pike	8.2	492	334	418	4	1	3	3.12	8
pile	5.4	298	500	548	4	1	3	2.98	12
pill	5.9	341	624	569	4	1	3	3.24	14
pine	6.8	394	478	462	4	1	3	3.03	18
pint	7.3	433	624	610	4	1	4	3.06	11
pipe	5.6	322	617	461	4	1	3	2.43	7
pistol	6.5	374	640	442	6	2	5	2.72	1
pitch	7.0	413	408	468	5	1	3	2.77	7
pity	7.4	382	346	513	4	2	4	2.94	3
plant	4.1	206	617	566	5	1	5	3.13	5
plasma	11.7	700	329	472	6	2	6	2.11	0
plate	4.2	227	596	629	5	1	4	3.09	4
platter	8.8	544	478	412	7	2	6	2.92	4
plea	8.8	553	222	451	4	1	3	2.44	2
plead	7.9	488	265	476	5	1	4	2.89	2
pledge	8.7	533	220	421	6	1	4	2.49	1
plight	10.0	620	226	389	6	1	4	2.70	4
plough	6.7	392	525	434	6	1	3	3.06	1
ploy	9.0	554	209	424	4	1	3	2.02	4
plump	7.0	415	500	445	5	1	5	2.23	5
plural	8.5	508	218	492	6	2	6	2.49	0
poacher	8.1	485	453	411	7	2	5	2.86	1
poison	5.9	327	584	459	6	2	4	2.81	1
poker	7.8	472	530	464	5	2	5	2.92	4
polar	8.5	523	418	419	5	2	5	2.53	2
pole	5.4	302	482	468	4	1	3	2.95	15
polish	6.4	341	533	490	6	2	5	2.72	1
polite	4.7	252	256	551	6	2	5	2.77	2
poll	8.6	539	280	447	4	1	3	3.22	13
pony	3.9	197	632	477	4	2	4	3.02	7
poodle	6.2	366	578	439	6	2	4	2.82	2
pope	7.0	407	566	428	4	1	3	2.66	13
pork	5.0	275	541	524	4	1	3	3.17	8
porter	8.8	539	483	503	6	2	5	3.18	2
pose	7.3	426	364	456	4	1	3	3.04	12
possess	8.0	487	248	518	7	2	5	2.74	0
post	5.0	277	607	606	4	1	4	3.28	13
posture	7.7	460	433	469	7	2	6	2.78	1
posy	7.2	413	343	397	4	2	4	2.80	9
potent	8.9	546	184	459	6	2	6	2.94	1
poultry	8.2	498	438	453	7	2	6	2.49	0
pound	5.1	277	584	652	5	1	4	3.33	7
pram	3.9	197	612	452	4	1	4	2.08	6
pray	4.7	243	502	471	4	1	3	2.39	6
precise	8.0	472	246	514	7	2	6	2.91	1
preface	10.8	700	245	434	7	2	6	2.53	0
premium	9.2	567	205	463	7	2	7	2.42	0
pretzel	8.9	546	602	441	7	2	6	2.23	0
prevent	7.8	460	200	539	7	2	7	2.78	1
preview	8.2	485	282	510	7	2	6	2.45	0
pride	7.6	461	283	502	5	1	4	2.70	5
primal	10.9	667	209	405	6	2	5	2.75	0
prime	8.1	493	209	454	5	1	4	2.65	5
prince	4.4	232	590	457	6	1	5	2.92	1
print	6.6	387	498	592	5	1	5	3.22	2
prior	8.6	532	145	488	5	2	5	2.78	0
prison	5.9	326	554	506	6	2	5	2.88	1
privy	10.9	675	191	376	5	2	5	2.59	0
prize	4.6	252	507	510	5	1	4	2.34	3
probe	8.8	544	331	423	5	1	4	2.42	3
prolong	9.0	539	177	445	7	2	6	3.01	0
prone	9.5	605	200	488	5	1	4	3.00	8
prop	7.7	456	251	465	4	1	4	2.66	9
proper	6.8	413	213	566	6	2	6	3.17	1
propose	7.7	467	351	504	7	2	6	2.95	0
prose	10.3	626	283	447	5	1	4	3.21	4
proud	5.4	296	293	523	5	1	4	2.87	0
prove	7.0	413	221	572	5	1	4	2.91	5
provide	7.6	461	214	557	7	2	6	2.84	0
prudent	10.4	654	197	416	7	2	6	2.80	0
pull	4.9	275	348	618	4	1	3	2.97	13
pulley	8.7	528	409	402	6	2	4	2.75	1
pulpit	7.7	469	426	422	6	2	6	2.25	0
pulse	7.6	446	433	486	5	1	4	2.33	1
pump	6.3	339	503	500	4	1	4	2.26	9
punch	5.3	290	607	516	5	1	4	2.73	5
punish	5.5	306	351	502	6	2	5	2.47	0
pure	6.3	359	251	508	4	1	4	3.07	8
purse	4.8	247	640	599	5	1	3	2.82	5
pursue	8.9	540	251	495	6	2	5	2.52	0
quantum	12.4	700	100	391	7	2	7	2.34	0
quarry	8.3	498	486	430	6	2	5	2.09	0
queer	9.4	567	295	460	5	1	4	3.02	1
quest	7.3	415	297	415	5	1	5	2.94	1
queue	6.1	345	511	591	5	1	3	2.18	0
quibble	9.4	570	218	426	7	2	5	2.24	0
quick	4.8	276	335	629	5	1	4	3.15	2
quit	6.4	371	275	567	4	1	4	1.96	4
rabbi	9.3	587	545	403	5	2	4	1.95	0
racist	9.4	580	395	485	6	2	6	2.78	2
rack	6.6	386	485	502	4	1	3	3.18	15
radiant	8.5	523	362	469	7	2	7	2.36	0
rail	5.2	275	499	530	4	1	3	2.96	12
rainbow	4.2	206	662	469	7	2	5	1.98	0
raisin	4.7	247	635	514	6	2	4	2.63	0
random	7.8	473	180	595	6	2	6	2.69	1
randy	10.7	685	365	486	5	2	5	2.76	6
rank	7.3	440	248	471	4	1	4	2.91	13
rare	7.1	407	254	523	4	1	3	3.32	14
rather	6.2	366	174	647	6	2	5	3.34	3
ration	8.5	500	325	421	6	2	4	3.04	2
razor	6.8	400	575	491	5	2	5	1.98	0
react	7.3	426	270	559	5	2	5	2.80	1
realize	6.3	361	223	604	7	2	5	2.71	0
rear	6.9	423	367	478	4	1	3	3.26	14
rebound	8.0	467	300	468	7	2	6	2.29	1
recent	6.9	407	205	583	6	2	5	3.09	5
record	6.1	324	584	566	6	2	5	3.08	0
reef	8.5	520	485	499	4	1	3	2.72	4
reel	7.1	400	376	429	4	1	3	3.13	8
refill	7.0	407	381	512	6	2	5	2.70	0
reggae	10.9	665	511	468	6	2	4	2.01	0
regime	10.2	623	184	463	6	2	5	2.59	0
region	8.0	491	287	488	6	2	5	2.84	1
